@RELATION banknoteAuth_train1


@ATTRIBUTE 0 REAL
@ATTRIBUTE 1 REAL
@ATTRIBUTE 2 REAL
@ATTRIBUTE 3 REAL
@ATTRIBUTE class REAL


@DATA
0.19080999999999998,9.1297,-3.725,-5.8224,-1
4.7072,8.2957,-2.5605,-1.4905,-1
-0.9592299999999999,0.091039,6.2204,-1.4828,-1
3.3397,-4.6145,3.9823,-0.23751,-1
0.3798,0.7098,0.7572,-0.4444,-1
-1.682,-6.8121,7.1398,1.3323,1
0.2346,-4.5152,2.1195,1.4448,1
-0.62684,-6.301,4.7843,1.1059999999999999,1
0.18868,0.70148,-0.5118199999999999,0.0055892,1
-1.9551,-6.9756,5.5383,-0.12889,1
0.9657399999999999,8.392999999999999,-1.361,-1.4659,-1
-1.6706,-2.09,1.584,0.71162,1
1.0009,7.7846,-0.28219,-2.6608,-1
-1.5732,1.0636,-0.71232,-0.8388,1
-5.119,6.6486,-0.049987000000000004,-6.5206,1
-5.872999999999999,9.1752,-0.27448,-6.0422,1
1.3087,4.9228,2.0013,0.22024000000000002,-1
-0.46651000000000004,2.3383,-2.9812,-1.0431,1
4.3684,9.6718,-3.9606,-3.1625,-1
4.4338,9.887,-4.6795,-3.7483,-1
4.8278,7.7598,-2.4491,-1.2216,-1
2.4012,1.6223,3.0312,0.7167899999999999,-1
0.80355,2.8473,4.3439,0.6017,-1
-1.3907,-1.3781,2.3055,-0.021566,1
1.296,4.2855,-4.8457,-2.9013,1
1.8664,7.7763,-0.23849,-2.9634,-1
3.4985,3.1639,0.22676999999999997,-0.1651,-1
4.1197,-2.7956,2.0707,0.6741199999999999,-1
0.9829600000000001,3.4226,-3.9692,-1.7116,1
-2.799,1.9679,-0.42357,-2.1125,1
4.9342,2.4107,-0.17594,1.6245,-1
2.0843,6.6258,0.48382,-2.2134,-1
-1.6162,0.80908,8.1628,0.60817,-1
-1.7713,-10.7665,10.2184,-1.0043,1
2.9421,7.4101,-0.97709,-0.8840600000000001,-1
-1.9423,0.3766,-1.2898,-0.82458,1
-3.4917,-12.1736,14.3689,-0.61639,1
1.6849,8.7489,-1.2641,-1.3858,-1
-1.1306,1.8458,-1.3575,-1.3806,1
-0.9592299999999999,-6.7128,4.9857,0.32886,1
-3.5681,-8.213,10.083,0.96765,1
3.5829,1.4423,1.0219,1.4008,-1
3.4893,6.69,-1.2042,-0.38750999999999997,-1
5.0691,0.21313000000000001,0.20278,1.2095,-1
2.5503,-4.9518,6.3729,-0.41596000000000005,-1
3.3577,-4.3062,6.0241,0.18274,-1
3.2051,8.6889,-2.9033,-0.7819,-1
-5.4808,8.1819,0.27818000000000004,-5.0323,1
5.504,10.3671,-4.413,-4.0211,-1
2.5331,2.9135,-0.8220000000000001,-0.12243,-1
-2.4941,3.5447,-1.3721,-2.8483,1
4.3064,8.2068,-2.7824,-1.4336,-1
-0.78289,11.3603,-0.37644,-7.0495,-1
1.6408,4.2503,-4.9023,-2.6621,1
-3.8073,-8.0971,10.1772,0.65084,1
5.8519,5.3905,-2.4037,-0.061652,-1
-3.38,-0.7077,2.5325,0.71808,1
4.3239,-4.8835,3.4356,-0.5776,-1
-0.64326,2.4748,-2.9452,-1.0276,1
0.76163,5.8209,1.1959,-0.64613,-1
4.0715,7.6398,-2.0824,-1.1698,-1
2.2928,9.0386,-3.2417,-1.2991,-1
-0.70867,-5.5602,4.0483,0.903,1
0.25035,9.3262,-3.6873,-6.2543,-1
4.7114,2.0755,-0.2702,1.2379,-1
0.0040545,0.62905,-0.6412100000000001,0.75817,1
0.11685999999999999,3.735,-4.4379,-4.3741,1
3.5499,8.6165,-3.2794,-1.2009,-1
0.20976999999999998,-0.46146000000000004,7.7267,0.90946,-1
5.1213,8.5565,-3.3917,-1.5474,-1
-0.49081,2.8452,-3.6436,-3.1004,1
-0.7034600000000001,2.957,-3.5947,-3.1457,1
4.1038,-4.8069,3.3491,-0.49225,-1
-1.7589,-6.4624,8.4773,0.31981,1
5.7823,5.5788,-2.4089,-0.056478999999999994,-1
4.1711,8.722000000000001,-3.0224,-0.5969899999999999,-1
