@RELATION banknoteAuthtest


@ATTRIBUTE 0 REAL
@ATTRIBUTE 1 REAL
@ATTRIBUTE 2 REAL
@ATTRIBUTE 3 REAL
@ATTRIBUTE class REAL


@DATA
-0.24036999999999997,-1.7837,2.135,1.2418,1
4.4549,2.4976,1.0313,0.9689399999999999,-1
3.6941,-3.9482,4.2625,1.1577,-1
-3.0061,-12.2377,11.9552,-2.1603,1
3.8117,10.1457,-4.0463,-4.5629,-1
0.89512,4.7738,-4.8431,-5.5909,1
4.0127,10.1477,-3.9366,-4.0728,-1
-4.8861,7.0542,-0.17252,-6.959,1
3.1896,5.7526,-0.18537,-0.30086999999999997,-1
-0.071503,3.7412,-4.5415,-4.2526,1
1.5631,0.89599,-1.9702,0.65472,1
3.0934,-2.9177,2.2232,0.22283000000000003,-1
4.4072,-0.070365,2.0416,1.1319,-1
-1.6936,2.7852,-2.1835,-1.9276,1
0.64376,3.764,-4.4738,-4.0483,1
2.7391,7.4018,0.071684,-2.5302,-1
4.0972,0.46971999999999997,1.6671,0.9159299999999999,-1
4.6464,10.5326,-4.5852,-4.206,-1
-0.87874,-2.2121,-0.051701,0.099985,1
2.4226,-4.5752,5.947,0.21506999999999998,-1
3.5912,3.0129,0.72888,0.56421,-1
2.0466,2.03,2.1761,-0.083634,-1
-1.2244,1.7485,-1.4801,-1.4181,1
-2.9821,4.1986,-0.5898,-3.9642,1
1.1644,3.8095,-4.9408,-4.0909,1
3.2351,9.647,-3.2074,-2.5948,-1
1.5456,8.5482,0.4187,-2.1784,-1
3.8197,8.9951,-4.383,-4.0327,-1
0.7376,4.8525,-4.7986,-5.6659,1
-3.2778,1.8023,0.1805,-2.3931,1
-1.0116,-0.19038,-0.90597,0.003003,1
4.0552,0.40143,1.4563,0.6534300000000001,-1
2.1464,6.0795,-0.5778,-2.2302,-1
1.3754,8.8793,-1.9136,-0.53751,-1
3.0864,-2.5845,2.2309,0.30946999999999997,-1
1.1315,7.9212,1.093,-2.8444,-1
-4.0679,2.4955,0.79571,-1.1039,1
-0.2062,9.2207,-3.7044,-6.8103,-1
0.58836,10.7727,-1.3884,-4.3276,-1
1.9572,-5.1153,8.6127,-1.4297,-1
2.7365,-5.0325,6.6608,-0.57889,-1
0.6005,0.99945,-2.2126,0.097399,1
-2.2083,-9.1069,8.9991,-0.28406,1
-1.7697,3.4329,-1.2144,-2.3789,1
3.4669,6.87,-1.0568,-0.73147,-1
3.3004,7.0811,-1.3258,0.22283000000000003,-1
-3.3553,0.35591,2.6473,-0.37846,1
-3.5741,3.944,-0.07912000000000001,-2.1203,1
3.966,3.9213,0.7057399999999999,0.33662,-1
0.52374,3.6439999999999997,-4.0746,-1.9909,1
5.3063,5.2684,-2.8904,-0.5271600000000001,-1
-5.8818,7.6584,0.5558,-2.9155,1
0.5195,-3.2633,3.0895,-0.9849,-1
3.7935,7.9853,-2.5477,-1.8719999999999999,-1
-0.5081600000000001,2.8680000000000003,-1.8108,-2.2612,1
2.7659,0.6621600000000001,4.1494,-0.28406,-1
3.245,6.63,-0.63435,0.8693700000000001,-1
3.3756,-4.0951,4.367,1.0698,-1
-3.7573,-8.2916,10.3032,0.38059,1
3.6894,9.887,-4.0788,-4.3664,-1
2.9736,8.7944,-3.6359,-1.3754,-1
-2.2214,-0.23798000000000002,0.56008,0.05602000000000001,1
1.5904,2.2121,-3.1183,-0.11725,1
-1.3389,1.5519999999999998,7.0806,1.031,-1
-3.2854,4.0372,-0.45356,-1.8228,1
1.5099,0.039307,6.2332,-0.30346,-1
-1.4233,-0.9891200000000001,2.3586,0.39481,1
2.0922,-6.81,8.4636,-0.60216,-1
5.3915,9.9946,-3.8081,-3.3642,-1
4.6014,5.6264,-2.1235,0.19309,-1
-1.3066,0.25244,0.7623,1.7758,1
0.518,0.25865,-0.84085,0.9611799999999999,1
4.6562,7.6398,-2.4243,-1.2384,-1
2.3917,4.5565,-4.9888,-2.8987,1
0.50813,0.47798999999999997,-1.9804,0.57714,1
-5.9034,6.5679,0.67661,-6.6797,1
0.030219,-1.0512,1.4024,0.77369,1
-2.7611,-10.5099,9.0239,-1.9547,1
-1.8629,-0.84841,2.5377,0.097399,1
2.0051,-6.8638,8.132,-0.2401,-1
3.3951,1.1484,2.1401,2.0862,-1
2.2517,-5.1422,4.2916,-1.2487,-1
-3.6085,3.3253,-0.51954,-3.5737,1
1.208,4.0744,-4.7635,-2.6129,1
2.2596,-0.033118,4.7355,-0.2776,-1
-1.2424,-1.7175,-0.52553,-0.21036,1
-1.5078,-7.3191,7.8981,1.2289,1
-5.4414,7.2363,0.10937999999999999,-7.5642,1
2.1943,4.5503,-4.976,-2.7254,1
-0.278,8.1881,-3.1338,-2.5276,-1
0.46901000000000004,-0.63321,7.3848,0.36507,-1
-4.4861,-13.2889,17.3087,-3.2194,1
4.0102,10.6568,-4.1388,-5.0646,-1
3.7818,-2.8846,2.2558,-0.15734,-1
3.8213,0.23175,2.0133,2.0564,-1
3.9433,2.5017,1.5215,0.903,-1
0.26637,0.73252,-0.67891,0.03533,1
3.8496,9.7939,-4.1508,-4.4582,-1
3.4642,10.6878,-3.4071,-4.109,-1
-1.7976,-6.7686,6.6753,0.89912,1
-0.7351,1.7361,-1.4938,-1.1582,1
-2.3277,1.4381,-0.82114,-1.2862,1
3.8962,-4.7904,3.3954,-0.53751,-1
3.6667,4.302,0.55923,0.33791,-1
-2.456,-0.24418,1.4041,-0.45863000000000004,1
1.0652,8.3682,-1.4004,-1.6509,-1
1.3403,4.1323,-4.7018,-2.5987,1
-0.8734,-0.033118,-0.20165,0.55774,1
5.6272,10.0857,-4.2931,-3.8142,-1
-1.5851,-2.1562,1.7082,0.9017,1
-3.8167,5.1401,-0.65063,-5.4306,1
-4.0025,-13.4979,17.6772,-3.3202,1
4.2027,0.22760999999999998,0.9610799999999999,0.97282,-1
-3.8203,-13.0551,16.9583,-2.3052,1
-0.49281,3.0605,-1.8356,-2.8339999999999996,1
-0.74324,-0.32902,-0.42785,0.23317,1
-0.66008,-3.2260000000000004,3.8058,1.1836,1
-3.8953,4.0392,-0.3019,-2.1836,1
1.4479,-4.8794,8.3428,-2.1086,-1
2.877,-4.0599,3.6259,-0.32544,-1
0.50225,0.65388,-1.1793,0.39998,1
-1.7549,-0.080711,-0.75774,-0.3707,1
1.7496,-0.1759,5.1827,1.2922,-1
0.88444,6.5906,0.55837,-0.44182,-1
0.7406699999999999,1.7299,-3.1963,-0.1457,1
-3.0799,0.60836,2.7039,-0.23751,1
0.32444,10.067,-1.1982,-4.1284,-1
4.6352,-3.0087,2.6773,1.212,-1
4.1757,10.2615,-3.8552,-4.3056,-1
-1.0112,2.9984,-1.1664,-1.6185,1
0.96788,7.1907,1.2798,-2.4565,-1
2.6562,10.7044,-3.3085,-4.0767,-1
-1.4781,0.14277,-1.1622,-0.48578999999999994,1
-1.7344,2.0175,7.7618,0.93532,-1
-7.0364,9.2931,0.16594,-4.5396,1
-6.5235,9.6014,-0.25392,-6.9642,1
0.75108,1.9161,-3.1098,-0.20518000000000003,1
0.68087,2.3259,4.9085,0.54998,-1
-0.12624000000000002,10.3216,-3.7121,-6.1185,-1
-2.5754,-5.6574,6.103,0.6521399999999999,1
2.5635,6.7769,-0.61979,0.38576,-1
-2.8833,1.7713,0.6894600000000001,-0.4638,1
2.093,8.3061,0.022844,-3.2724,-1
-1.8974,3.5074,-1.7842,-3.8491,1
0.6212,3.6771,-4.0771,-2.0711,1
1.4884,3.6274,3.3080000000000003,0.48921000000000003,-1
1.143,0.83391,5.4552,-0.56984,-1
-0.006891899999999999,9.2931,-0.41243,-1.9638,-1
-1.8584,7.886,-1.6643,-1.8384,-1
4.1195,10.9258,-3.8929,-4.1802,-1
