@RELATION skin_train1


@ATTRIBUTE 0 REAL
@ATTRIBUTE 1 REAL
@ATTRIBUTE 2 REAL
@ATTRIBUTE class REAL


@DATA
165,161,112,-1
48,44,49,-1
5,3,3,-1
63,83,130,1
58,56,22,-1
61,114,171,1
165,161,112,-1
15,14,0,-1
163,179,232,1
135,137,91,-1
168,163,124,-1
179,176,131,-1
0,21,127,-1
48,49,33,-1
105,106,50,-1
55,112,174,1
82,81,30,-1
163,161,113,-1
133,135,93,-1
51,77,59,-1
29,30,14,-1
199,197,162,-1
76,75,41,-1
158,161,112,-1
191,189,141,-1
180,180,134,-1
105,93,105,-1
121,159,224,1
132,136,100,-1
50,100,158,1
150,149,93,-1
181,114,183,-1
127,125,85,-1
14,13,3,-1
54,54,14,-1
50,91,136,1
101,102,46,-1
186,184,144,-1
199,197,163,-1
129,133,92,-1
130,165,228,1
149,154,109,-1
150,186,255,1
172,189,232,1
176,177,133,-1
98,144,221,1
146,148,96,-1
162,178,224,1
85,85,31,-1
6,255,255,-1
138,140,88,-1
84,93,131,1
40,89,67,-1
89,28,14,-1
133,135,93,-1
98,144,221,1
150,153,107,-1
120,120,120,-1
201,200,162,-1
74,76,30,-1
16,14,3,-1
60,61,22,-1
70,120,178,1
106,82,254,-1
199,197,163,-1
162,178,225,1
165,164,114,-1
70,121,177,1
151,189,253,1
97,100,50,-1
53,57,22,-1
91,69,248,-1
75,75,45,-1
47,46,26,-1
57,79,144,1
153,165,231,1
163,179,225,1
164,163,113,-1
91,89,35,-1
62,129,120,-1
147,189,255,1
4,3,0,-1
41,40,6,-1
134,137,92,-1
75,67,27,-1
174,173,129,-1
168,186,227,1
149,146,95,-1
9,4,5,-1
145,185,250,1
68,70,28,-1
96,143,224,1
182,179,135,-1
171,167,119,-1
170,169,119,-1
199,125,69,-1
60,61,21,-1
21,22,2,-1
78,84,127,1
111,112,56,-1
147,190,253,1
165,165,117,-1
200,198,163,-1
167,163,114,-1
255,255,245,-1
52,53,13,-1
118,149,210,1
4,1,3,-1
181,181,133,-1
164,165,115,-1
176,190,238,1
186,183,138,-1
163,161,113,-1
23,45,117,-1
29,29,5,-1
18,22,147,-1
157,161,126,-1
169,168,118,-1
172,171,121,-1
202,200,165,-1
199,197,162,-1
18,41,27,-1
94,91,40,-1
117,116,58,-1
72,70,46,-1
186,185,141,-1
16,17,0,-1
173,168,123,-1
155,158,113,-1
118,158,210,1
128,131,99,-1
164,162,114,-1
61,63,27,-1
174,172,124,-1
1,5,0,-1
69,71,25,-1
199,198,160,-1
120,127,152,-1
172,172,124,-1
98,99,43,-1
157,161,126,-1
55,56,22,-1
168,168,120,-1
181,153,136,-1
164,162,114,-1
69,71,25,-1
164,163,113,-1
85,87,35,-1
53,55,19,-1
68,70,24,-1
223,223,223,-1
163,161,113,-1
170,172,136,-1
173,170,125,-1
124,157,226,1
159,160,126,-1
0,185,0,-1
181,176,131,-1
163,163,115,-1
149,186,255,1
198,198,152,-1
1,1,1,-1
117,159,212,1
184,183,139,-1
140,139,88,-1
143,145,93,-1
164,162,114,-1
113,135,170,1
171,169,121,-1
178,178,132,-1
58,104,158,1
124,161,219,1
182,179,135,-1
125,121,103,-1
164,162,114,-1
178,176,128,-1
144,146,94,-1
168,166,118,-1
100,152,222,1
163,161,107,-1
194,195,153,-1
108,152,205,1
136,137,87,-1
165,164,114,-1
41,100,156,1
184,182,141,-1
180,179,135,-1
133,133,73,-1
104,147,214,1
153,156,107,-1
179,177,129,-1
201,200,162,-1
201,200,162,-1
103,159,230,1
151,152,102,-1
83,82,61,-1
163,161,113,-1
196,195,161,-1
151,154,105,-1
7,7,0,-1
246,251,254,-1
179,177,129,-1
58,46,200,-1
53,93,141,1
201,200,162,-1
165,163,115,-1
0,139,106,-1
112,150,208,1
178,178,130,-1
199,197,162,-1
140,140,86,-1
199,197,163,-1
62,62,22,-1
82,52,205,-1
52,53,19,-1
20,17,2,-1
54,58,17,-1
165,164,114,-1
33,33,3,-1
53,53,17,-1
167,178,228,1
189,190,151,-1
133,131,101,-1
181,181,135,-1
182,180,132,-1
139,140,231,-1
205,204,170,-1
62,124,188,1
55,102,255,-1
40,219,246,-1
16,15,11,-1
181,178,133,-1
128,130,184,1
247,249,249,-1
170,169,119,-1
108,94,106,-1
58,56,45,-1
147,186,254,1
199,198,160,-1
196,195,157,-1
49,88,140,1
201,200,162,-1
142,139,194,1
72,88,125,1
125,0,127,-1
